log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
18,0,43.684330,-72.233410,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.557373,1.475474,0.000000,0.000000,-0.010000,-0.010000,0.000000,0.000000,1.570796,-0.446636,10.954038,1.570000,0.000000,10.000000,0.000000,0.000000,0.194237,-0.020408,1.922111,0.500433,22.259000,0.038000 
19,0,43.684330,-72.233410,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.557373,1.475474,0.000000,0.000000,-0.010000,-0.010000,0.000000,0.000000,1.570796,-0.446636,10.954038,1.570000,0.000000,10.000000,0.000000,0.000000,0.199048,-0.024297,1.922111,0.500436,22.259000,0.038000 
20,0,43.684330,-72.233410,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.559200,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.438495,10.938887,1.570000,0.000000,10.000000,0.000000,0.000000,0.192955,-0.023140,1.913969,0.500435,22.296000,0.024000 
21,0,43.684330,-72.233410,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.560049,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.438495,10.938887,1.570000,0.000000,10.000000,0.000000,0.000000,0.196777,-0.023912,1.913969,0.500436,22.277000,0.037000 
22,0,43.684330,-72.233410,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.560049,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.438495,10.938887,1.570000,0.000000,10.000000,0.000000,0.000000,0.196777,-0.023912,1.913969,0.500436,22.277000,0.037000 
23,0,43.684330,-72.233411,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.560873,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.437508,10.969183,1.570000,0.000000,10.000000,0.000000,0.000000,0.197070,-0.026225,1.912982,0.500438,22.292000,0.034000 
24,0,43.684330,-72.233411,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.561574,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.437508,10.969183,1.570000,0.000000,10.000000,0.000000,0.000000,0.197030,-0.024683,1.912982,0.500437,22.266000,0.045000 
25,0,43.684330,-72.233411,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.561574,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.437508,10.969183,1.570000,0.000000,10.000000,0.000000,0.000000,0.197030,-0.024683,1.912982,0.500437,22.266000,0.045000 
26,0,43.684330,-72.233411,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.561574,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.437508,10.969183,1.570000,0.000000,10.000000,0.000000,0.000000,0.197030,-0.024683,1.912982,0.500437,22.266000,0.045000 
27,0,43.684330,-72.233411,43.684297,-72.233282,0.010000,0.010000,1.570000,0.000000,10.000000,2.561574,1.475474,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.000000,1.570796,-0.437508,10.969183,1.570000,0.000000,10.000000,0.000000,0.000000,0.197030,-0.024683,1.912982,0.500437,22.266000,0.045000 
