log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
1,0,43.684292,-110.847566,43.684327,-72.233347,-0.500000,0.750000,1.570000,0.000000,10.000000,0.787599,1.068879,-0.100000,0.130000,0.020000,-0.060000,-0.080000,0.040000,1.570797,-0.264509,3076501.657711,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333388,1.000000,22.328000,0.039000 
2,0,43.684292,-110.847566,43.684327,-72.233347,-0.500000,0.750000,1.570000,0.000000,10.000000,0.787599,1.068879,-0.100000,0.130000,0.020000,-0.060000,-0.080000,0.040000,1.570797,-0.264509,3076501.657711,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333388,1.000000,22.328000,0.039000 
3,0,43.684292,-110.848592,43.684329,-72.233348,-0.500000,0.780000,1.570000,0.000000,10.000000,0.787573,1.068879,-0.100000,0.130000,0.010000,0.030000,-0.080000,0.130000,1.570797,-0.264503,3076581.728435,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333381,1.000000,22.328000,0.039000 
4,0,43.684292,-110.851189,43.684329,-72.233348,-0.500000,0.780000,1.570000,0.000000,10.000000,0.787412,1.069209,-0.090000,0.110000,0.020000,0.030000,-0.080000,0.130000,1.570797,-0.264155,3076784.690127,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333365,1.000000,22.342000,0.036000 
5,0,43.684292,-110.851189,43.684329,-72.233348,-0.500000,0.780000,1.570000,0.000000,10.000000,0.787412,1.069209,-0.090000,0.110000,0.020000,0.030000,-0.080000,0.130000,1.570797,-0.264155,3076784.690127,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333365,1.000000,22.342000,0.036000 
6,0,43.684292,-110.853390,43.684329,-72.233348,-0.490000,0.780000,1.570000,0.000000,10.000000,0.786812,1.069209,-0.070000,0.090000,0.020000,0.030000,-0.080000,0.130000,1.570797,-0.264141,3076956.700460,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333351,1.000000,22.366000,0.029000 
7,0,43.684292,-110.853390,43.684329,-72.233348,-0.490000,0.780000,1.570000,0.000000,10.000000,0.786812,1.069209,-0.070000,0.090000,0.020000,0.030000,-0.080000,0.130000,1.570797,-0.264141,3076956.700460,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333351,1.000000,22.366000,0.029000 
8,0,43.684292,-110.853934,43.684329,-72.233348,-0.490000,0.780000,1.570000,0.000000,10.000000,0.786812,1.069209,-0.070000,0.090000,0.010000,0.030000,-0.080000,0.130000,1.570797,-0.264138,3076999.218372,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333347,1.000000,22.366000,0.029000 
9,0,43.684292,-110.855815,43.684329,-72.233348,-0.490000,0.780000,1.570000,0.000000,10.000000,0.786284,1.069209,-0.050000,0.060000,0.020000,0.030000,-0.080000,0.130000,1.570797,-0.264126,3077146.280053,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333335,1.000000,22.309000,0.032000 
10,0,43.684292,-110.856473,43.684329,-72.233348,-0.480000,0.780000,1.570000,0.000000,10.000000,0.786161,1.069209,-0.040000,0.060000,0.020000,0.030000,-0.080000,0.130000,1.570797,-0.264122,3077197.676509,1.570000,0.000000,10.000000,0.000000,0.000000,0.523599,-0.523599,1.333331,1.000000,22.296000,0.050000 
