log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
1,0,37.430774,-122.173522,43.684350,-72.233355,0.080000,-0.310000,1.570000,0.000000,10.000000,0.751987,1.275124,-1.460000,-3.750000,0.000000,0.650000,0.070000,-0.350000,1.570796,0.151719,4211372.655854,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.146000,0.038000 
2,0,37.430773,-122.173525,43.684350,-72.233355,0.080000,-0.310000,1.570000,0.000000,10.000000,0.752166,1.275124,-1.470000,-3.750000,0.000000,0.650000,0.070000,-0.350000,1.570796,0.151719,4211372.901328,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.146000,0.038000 
3,0,37.430772,-122.173529,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.752367,1.278886,-1.490000,-3.750000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211373.328852,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.313000,0.043000 
4,0,37.430772,-122.173529,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.752367,1.278886,-1.490000,-3.750000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211373.328852,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.313000,0.043000 
5,0,37.430769,-122.173536,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.752693,1.278886,-1.510000,-3.740000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211373.976041,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.337000,0.039000 
6,0,37.430767,-122.173543,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.753407,1.278886,-1.530000,-3.710000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211374.696540,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.339000,0.029000 
7,0,37.430767,-122.173543,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.753407,1.278886,-1.530000,-3.710000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211374.696540,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.279000,0.055000 
8,0,37.430766,-122.173546,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.754262,1.278886,-1.540000,-3.700000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211374.938863,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.279000,0.055000 
9,0,37.430766,-122.173548,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.754262,1.278886,-1.540000,-3.690000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211375.090294,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.279000,0.055000 
10,0,37.430765,-122.173549,43.684345,-72.233356,0.080000,-0.100000,1.570000,0.000000,10.000000,0.755055,1.278886,-1.550000,-3.680000,0.000000,-0.110000,0.280000,-0.250000,1.570796,0.155482,4211375.249686,1.570000,0.000000,10.000000,0.000000,0.000000,-0.523599,-0.523599,1.123404,1.000000,22.255000,0.045000 
