log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
1,0,43.684268,-72.233300,43.684354,-72.233275,0.000000,1.160000,1.570000,0.000000,10.000000,2.618253,0.972665,-0.120000,0.170000,0.020000,0.000000,-0.030000,0.040000,1.688609,0.762717,9.868960,1.570000,0.000000,10.000000,0.000000,0.000000,-0.346049,0.021453,0.209948,0.615088,22.259000,0.032000 
2,0,43.684267,-72.233300,43.684353,-72.233278,0.000000,1.180000,1.570000,0.000000,10.000000,2.635012,0.972606,-0.140000,0.170000,0.030000,-0.030000,-0.130000,0.030000,1.692287,0.791907,9.736637,1.570000,0.000000,10.000000,0.000000,0.000000,-0.187915,0.019661,0.180699,0.558493,22.214000,0.043000 
3,0,43.684267,-72.233300,43.684353,-72.233278,0.000000,1.180000,1.570000,0.000000,10.000000,2.644090,0.972606,-0.130000,0.170000,0.030000,-0.030000,-0.130000,0.030000,1.692287,0.791907,9.736637,1.570000,0.000000,10.000000,0.000000,0.000000,-0.182460,0.013230,0.180699,0.558296,22.346000,0.036000 
4,0,43.684267,-72.233300,43.684353,-72.233278,0.000000,1.180000,1.570000,0.000000,10.000000,2.651533,0.972606,-0.120000,0.170000,0.040000,-0.030000,-0.130000,0.030000,1.692287,0.791907,9.736637,1.570000,0.000000,10.000000,0.000000,0.000000,-0.182460,0.013230,0.180699,0.558296,22.346000,0.036000 
5,0,43.684267,-72.233300,43.684353,-72.233278,0.000000,1.180000,1.570000,0.000000,10.000000,2.657879,0.972606,-0.110000,0.160000,0.040000,-0.030000,-0.130000,0.030000,1.692495,0.794979,9.720086,1.570000,0.000000,10.000000,0.000000,0.000000,-0.182423,0.014429,0.177627,0.558142,22.346000,0.036000 
6,0,43.684267,-72.233300,43.684351,-72.233284,0.000000,1.130000,1.570000,0.000000,10.000000,2.657879,0.971363,-0.110000,0.160000,0.040000,-0.040000,-0.090000,0.010000,1.690390,0.836699,9.471256,1.570000,0.000000,10.000000,0.000000,0.000000,-0.180925,0.030975,0.134664,0.551040,22.346000,0.036000 
7,0,43.684267,-72.233300,43.684351,-72.233284,0.000000,1.130000,1.570000,0.000000,10.000000,2.657879,0.971363,-0.100000,0.170000,0.010000,-0.040000,-0.090000,0.010000,1.690390,0.836699,9.471256,1.570000,0.000000,10.000000,0.000000,0.000000,-0.173369,0.019231,0.134664,0.555028,22.252000,0.037000 
8,0,43.684267,-72.233300,43.684351,-72.233284,0.000000,1.130000,1.570000,0.000000,10.000000,2.661914,0.971363,-0.090000,0.180000,0.000000,-0.040000,-0.090000,0.010000,1.690390,0.836699,9.471256,1.570000,0.000000,10.000000,0.000000,0.000000,-0.173369,0.019231,0.134664,0.555028,22.310000,0.030000 
9,0,43.684267,-72.233300,43.684351,-72.233284,0.000000,1.130000,1.570000,0.000000,10.000000,2.663454,0.971363,-0.090000,0.180000,0.030000,-0.040000,-0.090000,0.010000,1.690251,0.836857,9.482197,1.570000,0.000000,10.000000,0.000000,0.000000,-0.173555,0.018436,0.134505,0.555128,22.310000,0.030000 
10,0,43.684267,-72.233300,43.684350,-72.233287,0.000000,1.100000,1.570000,0.000000,10.000000,2.663454,0.972345,-0.090000,0.180000,0.030000,0.020000,-0.010000,0.010000,1.689103,0.860018,9.319618,1.570000,0.000000,10.000000,0.000000,0.000000,-0.172111,0.030364,0.112327,0.550643,22.310000,0.030000 
11,0,43.684267,-72.233300,43.684350,-72.233287,0.000000,1.100000,1.570000,0.000000,10.000000,2.663454,0.972345,-0.090000,0.180000,0.030000,0.020000,-0.010000,0.010000,1.689103,0.860018,9.319618,1.570000,0.000000,10.000000,0.000000,0.000000,-0.168172,0.022664,0.112327,0.553104,22.310000,0.030000 
12,0,43.684267,-72.233300,43.684350,-72.233287,0.000000,1.100000,1.570000,0.000000,10.000000,2.667301,0.972345,-0.110000,0.190000,0.070000,0.020000,-0.010000,0.010000,1.689103,0.860018,9.319618,1.570000,0.000000,10.000000,0.000000,0.000000,-0.168172,0.022664,0.112327,0.553104,22.359000,0.039000 
13,0,43.684267,-72.233300,43.684349,-72.233287,0.000000,1.070000,1.570000,0.000000,10.000000,2.673159,0.973904,-0.110000,0.190000,0.060000,-0.030000,-0.020000,0.000000,1.686635,0.864375,9.257698,1.570000,0.000000,10.000000,0.000000,0.000000,-0.167767,0.026748,0.109529,0.549623,22.327000,0.039000 
14,0,43.684267,-72.233300,43.684349,-72.233287,0.000000,1.070000,1.570000,0.000000,10.000000,2.673159,0.973904,-0.130000,0.180000,0.050000,-0.030000,-0.020000,0.000000,1.686019,0.859713,9.306955,1.570000,0.000000,10.000000,0.000000,0.000000,-0.167625,0.020301,0.114190,0.551923,22.327000,0.039000 
15,0,43.684267,-72.233300,43.684349,-72.233287,0.000000,1.070000,1.570000,0.000000,10.000000,2.673159,0.973904,-0.130000,0.180000,0.050000,-0.030000,-0.020000,0.000000,1.686019,0.859713,9.306955,1.570000,0.000000,10.000000,0.000000,0.000000,-0.168292,0.022674,0.114190,0.551639,22.327000,0.039000 
16,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.673159,0.973904,-0.130000,0.180000,0.050000,0.020000,-0.030000,0.000000,1.687620,0.864318,9.179975,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166585,0.031942,0.109585,0.550488,22.327000,0.039000 
17,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.682445,0.974147,-0.120000,0.180000,0.030000,0.020000,-0.030000,0.000000,1.687620,0.864561,9.179975,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166204,0.025816,0.109585,0.551230,22.263000,0.041000 
18,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.690436,0.974147,-0.110000,0.190000,0.020000,0.020000,-0.030000,0.000000,1.687620,0.864561,9.179975,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166160,0.025816,0.109585,0.551230,22.263000,0.041000 
19,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.690436,0.974147,-0.110000,0.200000,0.010000,0.020000,-0.030000,0.000000,1.687620,0.864561,9.179975,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166160,0.025816,0.109585,0.551230,22.354000,0.028000 
20,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.696191,0.973632,-0.100000,0.200000,0.010000,-0.020000,-0.030000,0.000000,1.687760,0.863913,9.168997,1.570000,0.000000,10.000000,0.000000,0.000000,-0.165996,0.026617,0.109719,0.551130,22.354000,0.028000 
21,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.696191,0.973632,-0.100000,0.200000,0.010000,-0.020000,-0.030000,0.000000,1.687760,0.863913,9.168997,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166154,0.026087,0.109719,0.551194,22.354000,0.028000 
22,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.696191,0.973632,-0.100000,0.200000,0.010000,-0.020000,-0.030000,0.000000,1.687760,0.863913,9.168997,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166154,0.026087,0.109719,0.551194,22.324000,0.041000 
23,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.701180,0.972273,-0.070000,0.210000,0.050000,0.020000,-0.040000,0.000000,1.687772,0.863432,9.168126,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166134,0.026151,0.108841,0.551186,22.324000,0.041000 
24,0,43.684267,-72.233300,43.684348,-72.233288,0.000000,1.070000,1.570000,0.000000,10.000000,2.699970,0.972273,-0.060000,0.210000,0.040000,0.020000,-0.040000,0.000000,1.687772,0.863432,9.168126,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166224,0.026109,0.108841,0.551191,22.315000,0.036000 
25,0,43.684267,-72.233300,43.684348,-72.233289,0.000000,1.060000,1.570000,0.000000,10.000000,2.699970,0.972273,-0.060000,0.210000,0.040000,0.020000,0.010000,0.000000,1.686763,0.869581,9.161062,1.570000,0.000000,10.000000,0.000000,0.000000,-0.166333,0.026482,0.102692,0.550157,22.315000,0.036000 
26,0,43.684267,-72.233300,43.684348,-72.233289,0.000000,1.060000,1.570000,0.000000,10.000000,2.699970,0.970548,-0.060000,0.210000,0.040000,0.020000,0.010000,0.000000,1.686763,0.867856,9.161062,1.570000,0.000000,10.000000,0.000000,0.000000,-0.165173,0.026185,0.102692,0.550698,22.315000,0.036000 
27,0,43.684267,-72.233300,43.684348,-72.233289,0.000000,1.060000,1.570000,0.000000,10.000000,2.695696,0.970548,-0.060000,0.230000,0.000000,0.020000,0.010000,0.000000,1.687194,0.868361,9.127284,1.570000,0.000000,10.000000,0.000000,0.000000,-0.165029,0.028651,0.102187,0.550391,22.313000,0.034000 
