log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
1,0,0.000000,0.000000,0.000000,0.000000,-0.010000,4.900000,1.570000,0.000000,10.000000,1.587140,0.483493,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,3.141593,0.483493,4.910000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.068508,0.523599,-0.000000,0.118250,22.321000,0.051000 
2,0,0.000000,0.000000,0.000000,0.000000,-0.010000,4.900000,1.570000,0.000000,10.000000,1.587100,0.483493,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,3.141593,0.483493,4.910000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024076,0.424449,-0.000000,0.372750,22.349000,0.041000 
3,0,0.000000,0.000000,0.000000,0.000000,-0.010000,4.900000,1.570000,0.000000,10.000000,1.587100,0.483493,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,3.141593,0.483493,4.910000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024076,0.424449,-0.000000,0.372750,22.349000,0.041000 
4,0,0.000000,0.000000,0.000000,0.000000,-0.010000,4.900000,1.570000,0.000000,10.000000,1.587107,0.483493,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,3.141593,0.483493,4.910000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024076,0.424449,-0.000000,0.372750,22.349000,0.041000 
5,0,0.000000,0.000000,0.000000,0.000000,-0.010000,5.010000,1.570000,0.000000,10.000000,1.587107,0.483849,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,3.141593,0.483849,5.020000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024967,0.437434,-0.000000,0.381000,22.349000,0.041000 
6,0,0.000000,0.000000,0.000000,0.000000,-0.010000,5.010000,1.570000,0.000000,10.000000,1.587105,0.483849,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,3.141593,0.483849,5.020000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024588,0.431601,-0.000000,0.375500,22.371000,0.049000 
7,0,0.000000,0.000000,0.000000,0.000000,-0.010000,5.010000,1.570000,0.000000,10.000000,1.587105,0.483849,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,3.141593,0.483849,5.020000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024588,0.431601,-0.000000,0.375500,22.371000,0.049000 
8,0,0.000000,0.000000,0.000000,0.000000,-0.010000,5.010000,1.570000,0.000000,10.000000,1.587040,0.484776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.141593,0.484776,5.020000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024724,0.431601,-0.000000,0.375500,22.440000,0.039000 
9,0,0.000000,0.000000,0.000000,0.000000,-0.010000,5.010000,1.570000,0.000000,10.000000,1.587040,0.484776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.141593,0.484776,5.020000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024724,0.431601,-0.000000,0.375500,22.440000,0.039000 
10,0,0.000000,0.000000,0.000000,0.000000,-0.010000,5.010000,1.570000,0.000000,10.000000,1.586943,0.484776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.141593,0.484776,5.020000,1.570000,0.000000,10.000000,0.000000,0.000000,-0.024724,0.431601,-0.000000,0.375500,22.399000,0.040000 
